file_id	perseus_id	perseus_author	wikidata_work_id	wikidata_work_label	selected_english_translation	historian	main_language	author_code	author_wikidata_id	author_impact_date	languages	file_path	editors	pub_date	n_characters	n_words	n_pages	perseus_title	wikidata_author_in_db	instance_of	genre	form_of_creative_work	confidence
tlg0028.tlg002.perseus-eng2	tlg0028.tlg002	Antiphon	Q110732739	First Tetralogy	1	0	English	tlg0028	Q15078686	-500	grc; lat; eng	tlg0028/tlg002/tlg0028.tlg002.perseus-eng2.xml	Kenneth John Maidment	1941	31871	5440	22	The First Tetralogy: Anonymous Prosecution for Murder	Antiphon of Rhamnus	literary work, oration			88
tlg0029.tlg004.perseus-eng2	tlg0029.tlg004	Dinarchus	Q87737768	Against Demosthenes	1	0	English	tlg0029	Q473421	-324	eng; grc	tlg0029/tlg004/tlg0029.tlg004.perseus-eng2.xml	J. O. Burtt	1954	73330	12682	51	Against Demosthenes	Dinarchus	written work, oration			100
tlg0029.tlg005.perseus-eng2	tlg0029.tlg005	Dinarchus	Q87737769	Against Aristogeiton	1	0	English	tlg0029	Q473421	-324	eng; grc	tlg0029/tlg005/tlg0029.tlg005.perseus-eng2.xml	J. O. Burtt	1954	14978	2679	11	Against Aristogiton	Dinarchus	literary work, oration			98
tlg0029.tlg006.perseus-eng2	tlg0029.tlg006	Dinarchus	Q87737770	Against Philocles	1	0	English	tlg0029	Q473421	-324	eng; grc	tlg0029/tlg006/tlg0029.tlg006.perseus-eng2.xml	J. O. Burtt	1954	11159	1981	8	Against Philocles	Dinarchus	literary work, oration			100
tlg0030.tlg004.perseus-eng2	tlg0030.tlg004	Hyperides			1	0	English	tlg0030	Q314447	-360	eng; grc	tlg0030/tlg004/tlg0030.tlg004.perseus-eng2.xml	J. O. Burtt	1954	25045	4145	17	In Defence of Euxenippus					0
tlg0030.tlg003.perseus-eng2	tlg0030.tlg003	Hyperides			1	0	English	tlg0030	Q314447	-360	eng; grc	tlg0030/tlg003/tlg0030.tlg003.perseus-eng2.xml	J. O. Burtt	1954	23836	4062	16	Against Athenogenes					0
tlg0030.tlg005.perseus-eng2	tlg0030.tlg005	Hyperides			1	0	English	tlg0030	Q314447	-360	eng; grc	tlg0030/tlg005/tlg0030.tlg005.perseus-eng2.xml	J. O. Burtt	1954	22094	3802	15	Against Demosthenes					0
tlg0031.tlg003.perseus-eng2	tlg0031.tlg003	New Testament			1	0	English	tlg0031	Anonymous	100	eng	tlg0031/tlg003/tlg0031.tlg003.perseus-eng2.xml	Rainbow Missions, Inc.; Michael Paul Johnson	2000-2024	190112	24623	98	Luke					0
tlg0031.tlg005.perseus-eng2	tlg0031.tlg005	New Testament			1	0	English	tlg0031	Anonymous	100	eng	tlg0031/tlg005/tlg0031.tlg005.perseus-eng2.xml	Rainbow Missions, Inc.; Michael Paul Johnson	2000-2024	179065	23247	93	Acts					0
tlg0031.tlg001.perseus-eng2	tlg0031.tlg001	New Testament			1	0	English	tlg0031	Anonymous	100	eng	tlg0031/tlg001/tlg0031.tlg001.perseus-eng2.xml	Rainbow Missions, Inc.; Michael Paul Johnson	2000-2024	177935	22870	91	Matthew					0
tlg0033.tlg002.perseus-eng3	tlg0033.tlg002	Pindar	Q3411444	Pythian Odes	1	0	English	tlg0033	Q134929	-481	eng; grc; lat	tlg0033/tlg002/tlg0033.tlg002.perseus-eng3.xml	Diane Arnson Svarlien	1990	83170	12698	51	Pythian Odes	Pindar	literary work	ode, lyric poetry	poetry collection	100
tlg0033.tlg001.perseus-eng2	tlg0033.tlg001	Pindar	Q18146776	Olympic Odes	1	0	English	tlg0033	Q134929	-481	eng; grec; lat	tlg0033/tlg001/tlg0033.tlg001.perseus-eng2.xml	Diane Arnson Svarlien	1990	64401	10114	40	Olympian Odes	Pindar	literary work	lyric poetry, ode	poetry collection	92
tlg0033.tlg003.perseus-eng2	tlg0033.tlg003	Pindar	Q27214182	Nemean Odes	1	0	English	tlg0033	Q134929	-481	eng; grc; lat	tlg0033/tlg003/tlg0033.tlg003.perseus-eng2.xml	Diane Arnson Svarlien	1990	53432	8417	34	Nemean Odes	Pindar	literary work	lyric poetry	poetry collection	100
tlg0034.tlg001.perseus-eng2	tlg0034.tlg001	Lycurgus	Q87213118	Against Leocrates	1	0	English	tlg0034	Q373685	-354	eng; grc; lat	tlg0034/tlg001/tlg0034.tlg001.perseus-eng2.xml	J. O. Burtt	1954	108112	16894	68	Against Leocrates	Lycurgus of Athens	literary work, oration			100
tlg0057.tlg010.perseus-eng2	tlg0057.tlg010	Galen	Q19086972	On the Natural Faculties	1	0	English	tlg0057	Q8778	164	eng; grc; xgreek; dut; fre	tlg0057/tlg010/tlg0057.tlg010.perseus-eng2.xml	Arthur John Brock	1916	282349	48788	195	On the Natural Faculties.	Galen	version, edition or translation			100
tlg0059.tlg030.perseus-eng2	tlg0059.tlg030	Plato	Q123397	The Republic	1	0	English	tlg0059	Q859	-393	eng; grc; fre; ita; deu	tlg0059/tlg030/tlg0059.tlg030.perseus-eng2.xml	Paul Shorey	1935-37	1162547	210041	840	Republic	Plato	literary work	dialogue	prose	100
tlg0059.tlg034.perseus-eng2	tlg0059.tlg034	Plato	Q752285	Laws	1	0	English	tlg0059	Q859	-393	eng; grc	tlg0059/tlg034/tlg0059.tlg034.perseus-eng2.xml	Robert Gregg Bury	1926	865483	153609	614	Laws	Plato	written work, Platonic dialogue	dialogue		100
tlg0059.tlg023.perseus-eng2	tlg0059.tlg023	Plato	Q264241	Gorgias	1	0	English	tlg0059	Q859	-393	eng; grc	tlg0059/tlg023/tlg0059.tlg023.perseus-eng2.xml	Walter Rangeley Maitland Lamb	1925	210551	39042	156	Gorgias	Plato	written work	dialogue		100
tlg0061.tlg001.perseus-eng1	tlg0061.tlg001	Pseudo-Lucian	Q3838968	Lucius or The Ass	1	0	English	tlg0061	Q19558843	150	eng	tlg0061/tlg001/tlg0061.tlg001.perseus-eng1.xml	Emily James Smith	1892	54817	10431	42	Loukios, Or, the Ass	Pseudo-Lucian	literary work	Ancient Greek novel		87
tlg0061.tlg003.perseus-eng1	tlg0061.tlg003	Lucian of Samosota	Q25535500	De domo	1	0	English	tlg0061	Q19558843	150	eng	tlg0061/tlg003/tlg0061.tlg003.perseus-eng1.xml	Henry Watson Fowler; Francis George Fowler	1905	37931	6843	27	Demosthenes an Encomium	Pseudo-Lucian	literary work			81
tlg0061.tlg006.perseus-eng1	tlg0061.tlg006	Pseudo-Lucian	Q51854772	The Loves (Pseudo-Lucian)	1	0	English	tlg0061	Q19558843	150	eng	tlg0061/tlg006/tlg0061.tlg006.perseus-eng1.xml	Henry Watson Fowler; Francis George Fowler	1905	15543	2855	11	The Cynic	Pseudo-Lucian	version, edition or translation			73
tlg0062.tlg066.perseus-eng3	tlg0062.tlg066	Lucian of Samosata	Q1975147	Dialogues of the Dead	1	0	English	tlg0062	Q177847	155	eng	tlg0062/tlg066/tlg0062.tlg066.perseus-eng3.xml	Matthew Donald Macleod	1961	170459	30276	121	Dialogues of the Dead	Lucian of Samosata	literary work	dialogue		100
tlg0062.tlg068.perseus-eng4	tlg0062.tlg068	Lucian	Q3706676	Dialogues of the Gods	1	0	English	tlg0062	Q177847	155	eng	tlg0062/tlg068/tlg0062.tlg068.perseus-eng4.xml	Henry Watson Fowler; Francis George Fowler	1905	138043	25341	101	Dialogues of the Gods	Lucian of Samosata	literary work	satire		100
tlg0062.tlg062.perseus-eng3	tlg0062.tlg062	Lucian of Samosata	Q51853100	The Scythian or the Consul	1	0	English	tlg0062	Q177847	155	eng	tlg0062/tlg062/tlg0062.tlg062.perseus-eng3.xml	Kenneth Kilburn	1959	112952	20746	83	The Scythian or Consul	Lucian of Samosata	literary work			94
tlg0085.tlg005.perseus-eng4	tlg0085.tlg005	Aeschylus	Q3320792	Agamemnon	1	0	English	tlg0085	Q40939	-489	eng; grc; lat; deu; fre; ita	tlg0085/tlg005/tlg0085.tlg005.perseus-eng4.xml	Robert Browning	1889	229585	30372	121	Agamemnon	Aeschylus	dramatic work	Greek tragedy	play	100
tlg0085.tlg006.perseus-eng2	tlg0085.tlg006	Aeschylus	Q11688406	The Libation Bearers	1	0	English	tlg0085	Q40939	-489	eng; grc; lat; peo	tlg0085/tlg006/tlg0085.tlg006.perseus-eng2.xml	Herbert Weir Smyth	1926	73268	10941	44	Libation Bearers	Aeschylus	dramatic work	Greek tragedy	play	100
tlg0085.tlg007.perseus-eng2	tlg0085.tlg007	Aeschylus	Q1233164	Eumenides	1	0	English	tlg0085	Q40939	-489	eng; grc	tlg0085/tlg007/tlg0085.tlg007.perseus-eng2.xml	Herbert Weir Smyth	1926	69183	10162	41	Eumenides	Aeschylus	dramatic work	Greek tragedy	play	100
tlg0086.tlg025.perseus-eng2	tlg0086.tlg025	Aristotle	Q661655	Metaphysics	1	0	English	tlg0086	Q868	-348	eng; grc	tlg0086/tlg025/tlg0086.tlg025.perseus-eng2.xml	Hugh Tredennick	1933-1935	692870	121306	485	Metaphysics	Aristotle	written work	treatise		100
tlg0086.tlg035.perseus-eng2	tlg0086.tlg035	Aristotle	Q69539	Politics	1	0	English	tlg0086	Q868	-348	grc; eng	tlg0086/tlg035/tlg0086.tlg035.perseus-eng2.xml	Harris Rackham	1944	607371	106476	426	Politics	Aristotle	literary work	treatise		100
tlg0086.tlg010.perseus-eng2	tlg0086.tlg010	Aristotle	Q474537	Nicomachean Ethics	1	0	English	tlg0086	Q868	-348	grc; lat; eng; deu	tlg0086/tlg010/tlg0086.tlg010.perseus-eng2.xml	Harris Rackham	1926	599000	104386	418	Nicomachean Ethics	Aristotle	literary work, text	treatise		100
tlg0199.tlg001.perseus-eng2	tlg0199.tlg001	Bacchylides	Q87763178	Epinician Odes	1	0	English	tlg0199	Q310681	-480	eng; grc	tlg0199/tlg001/tlg0199.tlg001.perseus-eng2.xml	Diane Arnson Svarlien	1996	40193	5749	23	Epinicians	Bacchylides	literary work	epinikion	poetry collection	96
tlg0199.tlg002.perseus-eng2	tlg0199.tlg002	Bacchylides	Q87763179	Dithyrambs	1	0	English	tlg0199	Q310681	-480	eng; grc	tlg0199/tlg002/tlg0199.tlg002.perseus-eng2.xml	Diane Arnson Svarlien	1996	11488	1917	8	Dithyrambs	Bacchylides	literary work	dithyramb	poetry collection	100
