file_id	perseus_id	perseus_author	wikidata_work_id	wikidata_work_label	selected_english_translation	historian	main_language	author_code	author_wikidata_id	author_impact_date	languages	file_path	editors	pub_date	n_characters	n_words	n_pages	perseus_title	wikidata_author_in_db	instance_of	genre	form_of_creative_work	confidence
tlg0007.tlg055.perseus-grc2	tlg0007.tlg055	Plutarch	Q19740345	Life of Cicero	0	1	Greek	tlg0007	Q41523	75	grc	tlg0007/tlg055/tlg0007.tlg055.perseus-grc2.xml	Bernadotte Perrin	1919	106624	18819	75	Cicero	Plutarch	literary work	biography		100
tlg0007.tlg001.perseus-eng3	tlg0007.tlg001	Plutarch	Q87207955	Life of Theseus	1	1	English	tlg0007	Q41523	75	eng; grc	tlg0007/tlg001/tlg0007.tlg001.perseus-eng3.xml	Bernadotte Perrin	1914	67665	11789	47	Theseus	Plutarch	literary work	biography		100
tlg0007.tlg039.perseus-eng2	tlg0007.tlg039	Plutarch	Q100449983	Comparison of Crassus with Nicias	1	1	English	tlg0007	Q41523	75	eng; lat	tlg0007/tlg039/tlg0007.tlg039.perseus-eng2.xml	Bernadotte Perrin	1916	90397	15939	64	Crassus	Plutarch	version, edition or translation			100
tlg0007.tlg006.perseus-eng2	tlg0007.tlg006	Plutarch	Q135447093	Numa	1	1	English	tlg0007	Q41523	75	eng; lat; grc	tlg0007/tlg006/tlg0007.tlg006.perseus-eng2.xml	Bernadotte Perrin	1914	14489	2400	10	Comparison of Lycurgus and Numa	Plutarch	literary work, translated work	historical fiction, biographical novel	novel, prose	100
tlg0007.tlg030.perseus-eng2	tlg0007.tlg030	Plutarch	Q110502333	Parallel lives of Pyrrhus and Marius	1	1	English	tlg0007	Q41523	75	eng; grc; fre	tlg0007/tlg030/tlg0007.tlg030.perseus-eng2.xml	Bernadotte Perrin	1920	95521	16884	68	Pyrrhus	Plutarch	literary work			100
tlg0007.tlg008.perseus-eng2	tlg0007.tlg008	Plutarch	Q110502325	Parallel lives of Solon and Publicola	1	1	English	tlg0007	Q41523	75	eng; lat	tlg0007/tlg008/tlg0007.tlg008.perseus-eng2.xml	Bernadotte Perrin	1914	52235	9162	37	Publicola	Plutarch	literary work			100
tlg0007.tlg037.perseus-eng2	tlg0007.tlg037	Plutarch	Q87778873	Comparison of Cimon and Lucullus	1	1	English	tlg0007	Q41523	75	eng; lat; grc	tlg0007/tlg037/tlg0007.tlg037.perseus-eng2.xml	Bernadotte Perrin	1914	8050	1399	6	Comparison of Lucullus and Cimon	Plutarch	literary work			100
tlg0007.tlg015.perseus-eng2	tlg0007.tlg015	Plutarch	Q87208362	Life of Alcibiades	1	1	English	tlg0007	Q41523	75	eng; grc	tlg0007/tlg015/tlg0007.tlg015.perseus-eng2.xml	Bernadotte Perrin	1916	92889	16080	64	Alcibiades	Plutarch	literary work	biography		100
tlg0007.tlg012.perseus-eng2	tlg0007.tlg012	Plutarch	Q87208371	Life of Pericles	1	1	English	tlg0007	Q41523	75	eng; grc	tlg0007/tlg012/tlg0007.tlg012.perseus-eng2.xml	Bernadotte Perrin	1916	91673	15874	63	Pericles	Plutarch	literary work	biography		100
tlg0007.tlg024.perseus-eng2	tlg0007.tlg024	Plutarch	Q110502331	Parallel lives of Aristides and Cato the Elder	1	1	English	tlg0007	Q41523	75	eng; grc	tlg0007/tlg024/tlg0007.tlg024.perseus-eng2.xml	Bernadotte Perrin	1914	70997	12252	49	Aristides	Plutarch	literary work			100
tlg0007.tlg023.perseus-eng2	tlg0007.tlg023	Plutarch	Q87778861	Comparison of Pelopidas and Marcellus	1	1	English	tlg0007	Q41523	75	eng; lat; grc	tlg0007/tlg023/tlg0007.tlg023.perseus-eng2.xml	Bernadotte Perrin	1917	6791	1163	5	Comparison of Pelopidas and Marcellus	Plutarch	literary work			100
tlg0007.tlg048.perseus-eng2	tlg0007.tlg048	Plutarch	Q12902604	Life of Julius Caesar	1	1	English	tlg0007	Q41523	75	eng; lat	tlg0007/tlg048/tlg0007.tlg048.perseus-eng2.xml	Bernadotte Perrin	1919	140325	24836	99	Caesar	Plutarch	literary work	biography		100
tlg0007.tlg046.perseus-eng2	tlg0007.tlg046	Plutarch	Q87778886	Comparison of Agesilaus and Pompey	1	1	English	tlg0007	Q41523	75	eng; lat; grc	tlg0007/tlg046/tlg0007.tlg046.perseus-eng2.xml	Bernadotte Perrin	1917	10217	1803	7	Comparison of Agesilaus and Pompey	Plutarch	literary work			100
tlg0007.tlg041.perseus-eng2	tlg0007.tlg041	Plutarch	Q110502337	Parallel lives of Eumenes and Sertorius	1	1	English	tlg0007	Q41523	75	eng	tlg0007/tlg041/tlg0007.tlg041.perseus-eng2.xml	Bernadotte Perrin	1919	51056	8887	36	Eumenes	Plutarch	literary work			100
tlg0007.tlg022.perseus-eng2	tlg0007.tlg022	Plutarch	Q87210366	Life of Marcellus	1	1	English	tlg0007	Q41523	75	eng; lat; grc; xgreek	tlg0007/tlg022/tlg0007.tlg022.perseus-eng2.xml	Bernadotte Perrin	1917	73767	12832	51	Marcellus	Plutarch	literary work	biography		100
tlg0007.tlg013.perseus-eng2	tlg0007.tlg013	Plutarch	Q110502327	Parallel lives of Pericles and Fabius Maximus	1	1	English	tlg0007	Q41523	75	eng; lat; grc	tlg0007/tlg013/tlg0007.tlg013.perseus-eng2.xml	Bernadotte Perrin	1916	66063	11677	47	Fabius Maximus	Plutarch	literary work			100
tlg0007.tlg014.perseus-eng2	tlg0007.tlg014	Plutarch	Q87778851	Comparison of Pericles and Fabius Maximus	1	1	English	tlg0007	Q41523	75	eng	tlg0007/tlg014/tlg0007.tlg014.perseus-eng2.xml	Bernadotte Perrin	1916	6688	1075	4	Comparison of Pericles and Fabius Maximus	Plutarch	literary work			100
tlg0007.tlg040.perseus-eng2	tlg0007.tlg040	Plutarch	Q87778876	Comparison of Nicias and Crassus	1	1	English	tlg0007	Q41523	75	eng; lat; grc	tlg0007/tlg040/tlg0007.tlg040.perseus-eng2.xml	Bernadotte Perrin	1916	11162	1886	8	Comparison of Nicias and Crassus	Plutarch	literary work			100
tlg0007.tlg047.perseus-eng2	tlg0007.tlg047	Plutarch	Q11850689	Life of Alexander the Great	1	1	English	tlg0007	Q41523	75	eng; grc; fre	tlg0007/tlg047/tlg0007.tlg047.perseus-eng2.xml	Bernadotte Perrin	1919	280642	31642	127	Alexander	Plutarch	literary work	biography		100
tlg0007.tlg049.perseus-eng2	tlg0007.tlg049	Plutarch	Q19740349	Life of Phocion	1	1	English	tlg0007	Q41523	75	eng; lat; grc	tlg0007/tlg049/tlg0007.tlg049.perseus-eng2.xml	Bernadotte Perrin	1919	74867	13028	52	Phocion	Plutarch	literary work	biography		100
tlg0007.tlg140.perseus-eng2	tlg0007.tlg140	Plutarch	Q5407883	Against Colotes	1	1	English	tlg0007	Q41523	75	eng; grc; lat	tlg0007/tlg140/tlg0007.tlg140.perseus-eng2.xml	William W. Goodwin; A. G.	1874	90883	16077	64	Against Colotes, the Disciple and Favorite of Epicurus.	Plutarch	literary work			100
tlg0007.tlg032.perseus-eng2	tlg0007.tlg032	Plutarch	Q110502334	Parallel lives of Lysander and Sulla	1	1	English	tlg0007	Q41523	75	eng; grc	tlg0007/tlg032/tlg0007.tlg032.perseus-eng2.xml	Bernadotte Perrin	1916	72498	12681	51	Lysander	Plutarch	literary work			100
tlg0007.tlg035.perseus-eng2	tlg0007.tlg035	Plutarch	Q110502335	Parallel lives of Cimon and Lucullus	1	1	English	tlg0007	Q41523	75	eng; grc	tlg0007/tlg035/tlg0007.tlg035.perseus-eng2.xml	Bernadotte Perrin	1914	48995	8543	34	Cimon	Plutarch	literary work			100
tlg0007.tlg003.perseus-eng2	tlg0007.tlg003	Plutarch	Q87778843	Comparison of Theseus and Romulus	1	1	English	tlg0007	Q41523	75	eng; lat; grc	tlg0007/tlg003/tlg0007.tlg003.perseus-eng2.xml	Bernadotte Perrin	1914	10370	1740	7	Comparison of Theseus and Romulus	Plutarch	literary work			100
tlg0007.tlg004.perseus-eng2	tlg0007.tlg004	Plutarch	Q110502324	Parallel lives of Lycurgus and Numa	1	1	English	tlg0007	Q41523	75	eng; lat; grc	tlg0007/tlg004/tlg0007.tlg004.perseus-eng2.xml	Bernadotte Perrin	1914	81336	14233	57	Lycurgus	Plutarch	literary work			100
tlg0007.tlg050.perseus-eng2	tlg0007.tlg050	Plutarch	Q110502340	Parallel lives of Phocion and Cato the Younger	1	1	English	tlg0007	Q41523	75	eng; lat	tlg0007/tlg050/tlg0007.tlg050.perseus-eng2.xml	Bernadotte Perrin	1919	146509	26088	104	Cato the Younger	Plutarch	literary work			100
tlg0007.tlg057.perseus-eng2	tlg0007.tlg057	Plutarch	Q12902600	Life of Demetrius	1	1	English	tlg0007	Q41523	75	eng; lat; grc	tlg0007/tlg057/tlg0007.tlg057.perseus-eng2.xml	Bernadotte Perrin	1920	109740	19039	76	Demetrius	Plutarch	literary work	biography		100
tlg0007.tlg061.perseus-eng2	tlg0007.tlg061	Plutarch	Q87210374	Life of Brutus	1	1	English	tlg0007	Q41523	75	eng; lat; grc	tlg0007/tlg061/tlg0007.tlg061.perseus-eng2.xml	Bernadotte Perrin	1918	103181	17974	72	Brutus	Plutarch	literary work	biography		100
tlg0007.tlg066.perseus-eng2	tlg0007.tlg066	Plutarch	Q20552324	Life of Otho	1	1	English	tlg0007	Q41523	75	eng; lat; grc	tlg0007/tlg066/tlg0007.tlg066.perseus-eng2.xml	Bernadotte Perrin	1926	35780	6352	25	Otho	Plutarch	literary work	biography		100
tlg0007.tlg059.perseus-eng2	tlg0007.tlg059	Plutarch	Q87778893	Comparison of Demetrius and Antony	1	1	English	tlg0007	Q41523	75	eng	tlg0007/tlg059/tlg0007.tlg059.perseus-eng2.xml	Bernadotte Perrin	1920	7475	1288	5	Comparison of Demetrius and Antony	Plutarch	literary work			100
tlg0007.tlg005.perseus-eng2	tlg0007.tlg005	Plutarch	Q110502324	Parallel lives of Lycurgus and Numa	1	1	English	tlg0007	Q41523	75	eng; lat; grc	tlg0007/tlg005/tlg0007.tlg005.perseus-eng2.xml	Bernadotte Perrin	1914	64001	11172	45	Numa	Plutarch	literary work			100
tlg0007.tlg002.perseus-eng2	tlg0007.tlg002	Plutarch	Q87210391	Life of Romulus	1	1	English	tlg0007	Q41523	75	eng; lat; grc	tlg0007/tlg002/tlg0007.tlg002.perseus-eng2.xml	Bernadotte Perrin	1914	79888	14047	56	Romulus	Plutarch	literary work	biography		100
tlg0007.tlg034.perseus-eng2	tlg0007.tlg034	Plutarch	Q87778870	Comparison of Lysander and Sulla	1	1	English	tlg0007	Q41523	75	eng; grc; lat	tlg0007/tlg034/tlg0007.tlg034.perseus-eng2.xml	Bernadotte Perrin	1916	10680	1890	8	Comparison of Lysander and Sulla	Plutarch	literary work			100
tlg0007.tlg033.perseus-eng2	tlg0007.tlg033	Plutarch	Q12902611	Life of Sulla	1	1	English	tlg0007	Q41523	75	eng; grc; lat	tlg0007/tlg033/tlg0007.tlg033.perseus-eng2.xml	Bernadotte Perrin	1916	102179	17853	71	Sulla	Plutarch	literary work	biography		100
tlg0007.tlg067.perseus-eng3	tlg0007.tlg067	Plutarch	Q87193796	De liberis educandis	1	1	English	tlg0007	Q41523	75	eng; grc	tlg0007/tlg067/tlg0007.tlg067.perseus-eng3.xml	Frank Cole Babbitt	1927	112530	19977	80	De liberis educandis	Plutarch	literary work			100
tlg0007.tlg058.perseus-eng2	tlg0007.tlg058	Plutarch	Q12902608	Life of Mark Antony	1	1	English	tlg0007	Q41523	75	eng; lat	tlg0007/tlg058/tlg0007.tlg058.perseus-eng2.xml	Bernadotte Perrin	1920	162223	28598	114	Antony	Plutarch	literary work	biography		100
tlg0007.tlg060.perseus-eng2	tlg0007.tlg060	Plutarch	Q110502344	Parallel lives of Dion and Brutus	1	1	English	tlg0007	Q41523	75	eng; grc	tlg0007/tlg060/tlg0007.tlg060.perseus-eng2.xml	Bernadotte Perrin	1918	101536	17621	70	Dion	Plutarch	literary work			100
tlg0007.tlg051.perseus-eng1	tlg0007.tlg051	Plutarch	Q110502341	Parallel lives of Agis and Cleomenes and Tiberius and Gaius Gracchus	1	1	English	tlg0007	Q41523	75	eng	tlg0007/tlg051/tlg0007.tlg051.perseus-eng1.xml	Bernadotte Perrin	1921	116267	20386	82	Agis	Plutarch	literary work			100
tlg0007.tlg080.perseus-eng3	tlg0007.tlg080	Plutarch	Q87195458	De superstitione	1	1	English	tlg0007	Q41523	75	eng; grc; lat; deu	tlg0007/tlg080/tlg0007.tlg080.perseus-eng3.xml	Frank Cole Babbitt	1928	38375	6812	27	Superstition	Plutarch	literary work			100
tlg0007.tlg089.perseus-eng3	tlg0007.tlg089	Plutarch	Q12469931	Isis and Osiris	1	1	English	tlg0007	Q41523	75	eng; grc; lat; deu	tlg0007/tlg089/tlg0007.tlg089.perseus-eng3.xml	Frank Cole Babbitt	1936	165728	29584	118	Isis and Osiris	Plutarch	literary work	essay		100
tlg0007.tlg089.perseus-eng4	tlg0007.tlg089	Plutarch	Q12469931	Isis and Osiris	0	1	English	tlg0007	Q41523	75	eng; grc	tlg0007/tlg089/tlg0007.tlg089.perseus-eng4.xml	William W. Goodwin; William Baxter	1874	143784	25888	104	Of Isis and Osiris, or of the Ancient Religion and Philosophy of Egypt	Plutarch	literary work	essay		100
tlg0007.tlg042.perseus-eng2	tlg0007.tlg042	Plutarch	Q87210369	Life of Sertorius	1	1	English	tlg0007	Q41523	75	eng; lat	tlg0007/tlg042/tlg0007.tlg042.perseus-eng2.xml	Bernadotte Perrin	1919	61084	10757	43	Sertorius	Plutarch	literary work	biography		100
tlg0007.tlg045.perseus-eng2	tlg0007.tlg045	Plutarch	Q110502338	Parallel lives of Agesilaus and Pompey	1	1	English	tlg0007	Q41523	75	eng; lat; grc	tlg0007/tlg045/tlg0007.tlg045.perseus-eng2.xml	Bernadotte Perrin	1917	178909	31640	127	Pompey	Plutarch	literary work			100
tlg0007.tlg011.perseus-eng2	tlg0007.tlg011	Plutarch	Q87210388	Life of Camillus	1	1	English	tlg0007	Q41523	75	eng; lat	tlg0007/tlg011/tlg0007.tlg011.perseus-eng2.xml	Bernadotte Perrin	1914	91647	16246	65	Camillus	Plutarch	literary work	biography		100
tlg0007.tlg029.perseus-eng2	tlg0007.tlg029	Plutarch	Q87778867	Comparison of Philopoemen and Titus	1	1	English	tlg0007	Q41523	75	eng	tlg0007/tlg029/tlg0007.tlg029.perseus-eng2.xml	Bernadotte Perrin	1921	5228	912	4	Comparison of Philopoemen and Titus	Plutarch	literary work			100
tlg0007.tlg020.perseus-eng2	tlg0007.tlg020	Plutarch	Q87778856	Comparison of Timoleon and Aemilius	1	1	English	tlg0007	Q41523	75	eng; lat; grc	tlg0007/tlg020/tlg0007.tlg020.perseus-eng2.xml	Bernadotte Perrin	1918	4452	757	3	Comparison of Timoleon and Aemilius	Plutarch	literary work			100
tlg0007.tlg027.perseus-eng2	tlg0007.tlg027	Plutarch	Q110502332	Parallel lives of Philopoemen and Titus Flamininus	1	1	English	tlg0007	Q41523	75	eng	tlg0007/tlg027/tlg0007.tlg027.perseus-eng2.xml	Bernadotte Perrin	1921	52275	8974	36	Philopoemen	Plutarch	literary work			100
tlg0007.tlg018.perseus-eng2	tlg0007.tlg018	Plutarch	Q110502329	Parallel lives of Timoleon and Aemilius	1	1	English	tlg0007	Q41523	75	eng; lat; grc	tlg0007/tlg018/tlg0007.tlg018.perseus-eng2.xml	Bernadotte Perrin	1918	79983	13799	55	Timoleon	Plutarch	literary work			100
tlg0007.tlg044.perseus-eng2	tlg0007.tlg044	Plutarch	Q110502338	Parallel lives of Agesilaus and Pompey	1	1	English	tlg0007	Q41523	75	eng	tlg0007/tlg044/tlg0007.tlg044.perseus-eng2.xml	Bernadotte Perrin	1917	96621	16894	68	Agesilaus	Plutarch	literary work			100
